F a l a ; C a n d i d a t o ; S e n t e n ç a ; S e n t i m e n t o
1 ; A É C I O      N E V E S ; N o      N o r d e s t e      b r a s i l e i r o      c a r r o s      d e      s o m      e s t ã o      c i r c u l a n d o      d i z e n d o      q u e      s e      o      e l e i t o r      v o t a r      n o      4 5      e l e      e s t á      a u t o m a t i c a m e n t e      d e s l i g a d o      d o      B o l s a      F a m í l i a . ; { ' n e g ' :      0 . 1 8 ,      ' n e u ' :      0 . 8 2 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 5 2 6 7 }
1 ; A É C I O      N E V E S ; A      s e n h o r a      s e      o r g u l h a      c a n d i d a t a      d e      u m a      c a m p a n h a      n e s s e      n í v e l ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 ; A É C I O      N E V E S ; C a n d i d a t a      n ã o      é      j u s t o      c o l o c a r      p a l a v r a s      n a      b o c a      d e      a l g u é m      q u e      n ã o      e s t á      a q u i      p a r a      r e s p o n d ê - l a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 ; A É C I O      N E V E S ; E u      t e n h o      o r g u l h o      e n o r m e      d o      m e u      c a n d i d a t o      a      M i n i s t r o      d a      F a z e n d a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 ; A É C I O      N E V E S ; A      s e n h o r a      p a r e c e      q u e      n ã o      t e m      d o      s e u      a t é      p o r q u e      j á      d e m i t i u      o      a t u a l      M i n i s t r o      d a      F a z e n d a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 ; A É C I O      N E V E S ; M a s      o      B r a s i l      c a n d i d a t a      é      v i s t o      s i m      p e l a      c o m u n i d a d e      i n t e r n a c i o n a l      c o m o      u m      d o s      p a í s e s      q u e      m e n o s      c r e s c e      n a      n o s s a      r e g i ã o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 ; A É C I O      N E V E S ; T e m o s      u m a      t a x a      d e      i n v e s t i m e n t o s      h o j e      d e      1 6 5 %      d o      P I B      a      p i o r      d a      d é c a d a      p o r q u e      o      s e u      g o v e r n o      a f u g e n t o u      o s      i n v e s t i m e n t o s      e      a      i n f l a ç ã o      i n f e l i z m e n t e      e s t á      d e      v o l t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 ; A É C I O      N E V E S ; A      s i t u a ç ã o      d o      B r a s i l      é      e x t r e m a m e n t e      g r a v e      c a n d i d a t a      e      é      p r e c i s o      q u e      o      s e u      g o v e r n o      r e c o n h e ç a      i s s o      p o r q u e      o s      m e r c a d o s      o u t r o s      p a í s e s      o s      b r a s i l e i r o s      j á      r e c o n h e c e m . ; { ' n e g ' :      0 . 1 1 5 ,      ' n e u ' :      0 . 8 8 5 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 3 8 1 8 }
2 ; A É C I O      N E V E S ; O      g o v e r n o      d o      P T      e      o      g o v e r n o      d a      c a n d i d a t a      D i l m a      R o u s s e f f      f r a c a s s o u      n a      c o n d u ç ã o      d a      e c o n o m i a      p o i s      n o s      d e i x a r á      u m a      i n f l a ç ã o      s a i n d o      d e      c o n t r o l e      p o r      m a i s      q u e      e l a      n ã o      r e c o n h e ç a      u m      c r e s c i m e n t o      p í f i o      f r a c a s s o u      n a      g e s t ã o      d o      e s t a d o      n a c i o n a l . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 ; A É C I O      N E V E S ; O      B r a s i l      é      h o j e      u m      c e m i t é r i o      d e      o b r a s      a b a n d o n a d a s      i n a c a b a d a s      e      c o m      s o b r e      p r e ç o      d e      f o r t e s      d e n ú n c i a s      d e      d e s v i o s      p o r      t o d a      a      p a r t e      e      f r a c a s s o u      n a      m e l h o r i a      d o s      n o s s o s      i n d i c a d o r e s      s o c i a i s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 ; A É C I O      N E V E S ; L a m e n t a v e l m e n t e      c a n d i d a t a      e s s e      é      o      r e t r a t o      d o      B r a s i l      r e a l      n ã o      é      o      r e t r a t o      d o      B r a s i l      d a      p r o p a g a n d a      d o      s e u      m a r q u e t e i r o . ; { ' n e g ' :      0 . 1 1 8 ,      ' n e u ' :      0 . 8 8 2 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 5 }
2 ; A É C I O      N E V E S ; M a s      n ó s      v a m o s      m u i t o      m a l      n a      s a ú d e      o u      a      s e n h o r a      a c h a      q u e      v a i      b e m ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 ; A É C I O      N E V E S ; V a m o s      m a l      n a      s e g u r a n ç a      p ú b l i c a      u m a      o m i s s ã o      c r i m i n o s a      d o      g o v e r n o      f e d e r a l      e      v a m o s      m u i t o      m a l      n a      e d u c a ç ã o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 ; A É C I O      N E V E S ; A      s e n h o r a      s e r á      a      p r i m e i r a      p r e s i d e n t e      d a      R e p ú b l i c a      p ó s - p l a n o      r e a l      q u e      d e i x a r á      o      p a í s      c o m      u m a      i n f l a ç ã o      m a i o r      d o      q u e      a q u e l a      q u e      r e c e b e u . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 ; A É C I O      N E V E S ; V a m o s      a g u a r d a r      o      e l e i t o r      d e c i d i r      s e      a      s e n h o r a      v a i      t e r      o      p r ó x i m o      m a n d a t o      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
4 ; A É C I O      N E V E S ; M a s      n ó s      e s t a m o s      a q u i      f a l a n d o      p a r a      m i l h õ e s      e      m i l h õ e s      d e      b r a s i l e i r o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
4 ; A É C I O      N E V E S ; A      s e n h o r a      a c a b a      d e      d i z e r      q u e      o      g o v e r n o      d o      p r e s i d e n t e      F e r n a n d o      H e n r i q u e      d e i x o u      a      i n f l a ç ã o      m a i o r      d o      q u e      r e c e b e u . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
4 ; A É C I O      N E V E S ; E m      9 4      c a n d i d a t a      a      i n f l a ç ã o      e r a      d e      9 1 6 %      a o      a n o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
4 ; A É C I O      N E V E S ; O      p l a n o      r e a l      q u e      o      s e u      g o v e r n o      q u e      o      s e u      p a r t i d o      v o t o u      c o n t r a      p e r m i t i u      q u e      e l a      c h e g a s s e      a      7 5 %      e      d e p o i s      c o m      a      e l e i ç ã o      d o      p r e s i d e n t e      L u l a      a      1 2 5 % . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
4 ; A É C I O      N E V E S ; E u      p e r g u n t o      a o      t e l e s p e c t a d o r ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
4 ; A É C I O      N E V E S ; v o c ê      c o n f i a r i a      m a i s      n o      g o v e r n o      q u e      t r a z      a      i n f l a ç ã o      d e s s e      p a t a m a r      d e      9 1 6 %      a o      a n o      o u      d e i x a r      e s s e      p e r í o d o      d o      L u l a      n a      m i n h a      c o n t a      a      1 2 %      o u      u m      q u e      a      e n t r e g a      m a i o r      c o m o      a c o n t e c e      n o      c a s o      d a      p r e s i d e n t e      D i l m a ? ; { ' n e g ' :      0 . 1 1 5 ,      ' n e u ' :      0 . 8 8 5 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 5 2 6 7 }
4 ; A É C I O      N E V E S ; A      h i s t ó r i a      a      g e n t e      n ã o      r e e s c r e v e      p r e s i d e n t e      o      f u t u r o      s i m . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
4 ; A É C I O      N E V E S ; E s s e      n ó s      p o d e m o s      e s c r e v e r      d e      f o r m a      d i f e r e n t e      d o      q u e      e s t á      s e n d o      e s c r i t o      p e l o      s e u      g o v e r n o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
5 ; A É C I O      N E V E S ; C a n d i d a t a      n ó s      s a b e m o s      d a      a b s o l u t a      c a r ê n c i a      d e      i n f r a e s t r u t u r a      n o      B r a s i l      p o r      t o d a s      a s      p a r t e s . ; { ' n e g ' :      0 . 1 4 5 ,      ' n e u ' :      0 . 8 5 5 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
5 ; A É C I O      N E V E S ; F a l t a      t u d o :      f e r r o v i a s      h i d r o v i a s      f a l t a m      p o r t o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
5 ; A É C I O      N E V E S ; O      s e u      g o v e r n o      o p t o u      p o r      f i n a n c i a r      a      c o n s t r u ç ã o      d e      u m      p o r t o      e m      C u b a      g a s t a n d o      R $      2      b i l h õ e s      d o      d i n h e i r o      b r a s i l e i r o      d o      d i n h e i r o      d o      t r a b a l h a d o r      b r a s i l e i r o      e n q u a n t o      n o s s o s      p o r t o s      e s t ã o      a i      a g u a r d a n d o      i n v e s t i m e n t o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
5 ; A É C I O      N E V E S ; N e n h u m      t e v e      i n v e s t i m e n t o s      n e s t a      l i n h a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
5 ; A É C I O      N E V E S ; O      q u e      é      m a i s      g r a v e :      e s s e      f i n a n c i a m e n t o      v e m      c o m      c a r i m b o      d e      s e c r e t o      e l e      n ã o      é      a c e s s í v e l      à      p o p u l a ç ã o      b r a s i l e i r a . ; { ' n e g ' :      0 . 1 5 7 ,      ' n e u ' :      0 . 8 4 3 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 3 8 1 8 }
5 ; A É C I O      N E V E S ; O      q u e      o      s e u      g o v e r n o      t e m      a      e s c o n d e r      c a n d i d a t a      e m      r e l a ç ã o      a o      f i n a n c i a m e n t o      d o      p o r t o      d e      M a r i a l      e m      C u b a ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
6 ; A É C I O      N E V E S ; M a i s      u m      e n g a n o      d a      s e n h o r a      m a s      v o l t o      a      C u b a      q u e      é      a      m i n h a      p e r g u n t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
6 ; A É C I O      N E V E S ; T a l v e z      e u      p o s s a      r e v e l a r      h o j e      a q u i      a o      B r a s i l      a s      r a z õ e s      p e l a s      q u a i s      o      e m p r é s t i m o      é      c o n s i d e r a d o      s e c r e t o      d i f e r e n t e      d e      t o d o s      e s s e s      o u t r o s      a      q u e      a      s e n h o r a      s e      r e f e r i u . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
6 ; A É C I O      N E V E S ; R e c e b i      u m      d o c u m e n t o      h o j e      e      e s t o u      s o l i c i t a n d o      q u e      s e j a      e n v i a d o      à      P r o c u r a d o r i a      G e r a l      d a      R e p ú b l i c a      p a r a      q u e      f a ç a      a      i n v e s t i g a ç ã o      d o c u m e n t o      d o      M i n i s t é r i o      d o      D e s e n v o l v i m e n t o      E c o n ô m i c o      q u e      d i z      q u e      o      f i n a n c i a m e n t o      p a r a      C u b a      d i f e r e n t e      d o      f i n a n c i a m e n t o      p a r a      o u t r o s      p a í s e s      o n d e      o      p r a z o      p a r a      p a g a m e n t o      é      d e      1 3      a n o s      f o i      d e      2 5      a n o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
6 ; A É C I O      N E V E S ; E      o      m a i s      g r a v e      c a n d i d a t a      e m      t o d o s      e s s e s      f i n a n c i a m e n t o s      a      s o l i c i t a ç ã o      d o      g o v e r n o      b r a s i l e i r o      e      d o      g r u p o      t é c n i c o      e r a      d e      q u e      a s      g a r a n t i a s      f o s s e m      d a d a s      e m      u m a      m o e d a      f o r t e      g e r a l m e n t e      e u r o      o u      d ó l a r      u m      b a n c o      i n t e r n a c i o n a l      d e      c r e d i b i l i d a d e . ; { ' n e g ' :      0 . 0 7 3 ,      ' n e u ' :      0 . 9 2 7 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 3 8 1 8 }
6 ; A É C I O      N E V E S ; E      o      g o v e r n o      b r a s i l e i r o      a c e i t o u      q u e      e s s a s      g a r a n t i a s      f o s s e m      d a d a s      e m      p e s o s      c u b a n o s      n u m      b a n c o      n a      i l h a      d e      C u b a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
6 ; A É C I O      N E V E S ; É      j u s t o      c o m      o      d i n h e i r o      b r a s i l e i r o      f a z e r      f a v o r e s      a      u m      p a í s      a m i g o      q u e      n ã o      r e s p e i t a      s e q u e r      a      D e m o c r a c i a      c a n d i d a t a ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
7 ; A É C I O      N E V E S ; C a n d i d a t a      e u      a p r o v e i t o      a      p e r g u n t a      s o b r e      o      M i n h a      C a s a      M i n h a      V i d a      p a r a      m a i s      u m a      v e z      d e n u n c i a r      o      t e r r o r i s m o      q u e      s e u      p a r t i d o      v e m      f a z e n d o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
7 ; A É C I O      N E V E S ; P e s s o a s      q u e      e s t ã o      n a      l i s t a      p a r a      s e r e m      b e n e f i c i a d a s      p e l o      M i n h a      C a s a      M i n h a      V i d a      e s t ã o      r e c e b e n d o      m e n s a g e m      d i z e n d o      q u e      s e      v o t a r e m      n o      P S D B      s a i r ã o      d o      c a d a s t r o . ; { ' n e g ' :      0 . 0 8 4 ,      ' n e u ' :      0 . 9 1 6 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
7 ; A É C I O      N E V E S ; N ã o      é      v e r d a d e . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
7 ; A É C I O      N E V E S ; E u      q u e r o      t r a n q u i l i z a r      a      t o d o s      o s      b r a s i l e i r o s      e      b r a s i l e i r a s      p o r q u e      n ó s      n ã o      v a m o s      a p e n a s      m a n t e r      o      M i n h a      C a s a      M i n h a      V i d a      n ó s      v a m o s      a p r i m o r á - l o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
7 ; A É C I O      N E V E S ; F o c a n d o      e s p e c i a l m e n t e      a s      r e g i õ e s      d e      m a i s      b a i x a      r e n d a      o n d e      o      a t u a l      g o v e r n o      n ã o      a v a n ç o u . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
7 ; A É C I O      N E V E S ; A q u e l a      d e      a t é      t r ê s      s a l á r i o s      m í n i m o s      q u e      e x i s t i a      n o      i n í c i o      d o      s e u      g o v e r n o      u m      d e f i c i t      d e      4 . 0 0 0 . 1 0 0      m o r a d i a s . ; { ' n e g ' :      0 . 2 3 4 ,      ' n e u ' :      0 . 7 6 6 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 5 9 9 4 }
7 ; A É C I O      N E V E S ; E x i s t e      h o j e      u m      d e f i c i t      p r ó x i m o      d e      4      m i l h õ e s . ; { ' n e g ' :      0 . 3 1 ,      ' n e u ' :      0 . 6 9 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 4 0 1 9 }
7 ; A É C I O      N E V E S ; E s s a      s e r á      u m a      g r a n d e      p r i o r i d a d e      n o      n o s s o      g o v e r n o . ; { ' n e g ' :      0 . 2 3 9 ,      ' n e u ' :      0 . 7 6 1 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
7 ; A É C I O      N E V E S ; E      v a m o s      f a z e r      p a r c e r i a s      d e s b u r o c r a t i z a d a s      m a i s      á g e i s      c o m      o s      m u n i c í p i o s      b r a s i l e i r o s      e      c o m      o s      e s t a d o s      b r a s i l e i r o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
7 ; A É C I O      N E V E S ; N i n g u é m      p o d e      c a n d i d a t a      q u e r e r      s e      a p r o p r i a r      d e      p r o g r a m a s      c o m o      s e      f o s s e m      a p e n a s      s e u s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
7 ; A É C I O      N E V E S ; V á r i o s      p r o g r a m a s      s ã o      d a      s o c i e d a d e      b r a s i l e i r a      e      s ã o      p a g o s      p e l o      d i n h e i r o      d o      t r a b a l h a d o r      b r a s i l e i r o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
7 ; A É C I O      N E V E S ; E      n ó s      v a m o s      s u b s i d i a r      s i m      p r o g r a m a s      s o c i a i s      q u e      t ê m      a l c a n c e      n a      v i d a      r e a l      n a      v i d a      d a s      p e s s o a s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
7 ; A É C I O      N E V E S ; N ó s      n ã o      v a m o s      f a z e r      é      o      b o l s a      e m p r e s á r i o      q u e      a j u d a      a p e n a s      u m      g r u p o      m u i t o      r e s t r i t o      d e      b r a s i l e i r o s      e m      d e t r i m e n t o      d a      g r a n d e      m a i o r i a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
7 ; A É C I O      N E V E S ; F i q u e      t r a n q u i l a      c a n d i d a t a      f i q u e m      t r a n q u i l o s      b r a s i l e i r o s      p o r q u e      n ó s      v a m o s      a v a n ç a r      e      a v a n ç a r      m u i t o      m a i s      t a m b é m      n o      p r o g r a m a      h a b i t a c i o n a l . ; { ' n e g ' :      0 . 1 2 1 ,      ' n e u ' :      0 . 8 7 9 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
8 ; A É C I O      N E V E S ; E u      j á      d i s s e      m a i s      d e      u m a      v e z      e      q u e r o      d i z e r      m a i s      u m a      v e z      a      m i l h õ e s      d e      b r a s i l e i r o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
8 ; A É C I O      N E V E S ; M e      h o n r a      m u i t o      e s s a      c o m p a r a ç ã o      c o m      o      p r e s i d e n t e      F e r n a n d o      H e n r i q u e      m a s      e u      m e      c h a m o      A é c i o      N e v e s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
8 ; A É C I O      N E V E S ; E u      d i s p u t o      a      P r e s i d ê n c i a      d a      R e p ú b l i c a      p a r a      g o v e r n a r      a      p a r t i r      d e      1 º      d e      j a n e i r o      d e      2 0 1 5 . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
8 ; A É C I O      N E V E S ; E      o      t e m a      q u e      a      s e n h o r a      t r a z      é      u m      t e m a      q u e      m e r e c e      a q u i      u m a      r e f l e x ã o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
8 ; A É C I O      N E V E S ; B a n c o s      p ú b l i c o s      s e r ã o      f o r t a l e c i d o s      n ã o      s e r ã o      a p a r e l h a d o s      n o      m e u      g o v e r n o      c a n d i d a t a . ; { ' n e g ' :      0 . 1 8 ,      ' n e u ' :      0 . 8 2 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
8 ; A É C I O      N E V E S ; E m      2 0 0 3      o      B a n c o      d o      B r a s i l      t i n h a      t r ê s      d i r e t o r i a s      e n t r e      p r e s i d ê n c i a      v i c e - p r e s i d ê n c i a      e      d i r e t o r i a s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
